INSERT ALL 
 INTO "PSE1"."Warenkorb" VALUES ('0', '1727') 
 INTO "PSE1"."Warenkorb" VALUES ('1010', '728') 
 INTO "PSE1"."Warenkorb" VALUES ('1011', '51') 
 INTO "PSE1"."Warenkorb" VALUES ('1012', '1519') 
 INTO "PSE1"."Warenkorb" VALUES ('1013', '995') 
 INTO "PSE1"."Warenkorb" VALUES ('1014', '1552') 
 INTO "PSE1"."Warenkorb" VALUES ('1015', '680') 
 INTO "PSE1"."Warenkorb" VALUES ('1016', '745') 
 INTO "PSE1"."Warenkorb" VALUES ('1017', '571') 
 INTO "PSE1"."Warenkorb" VALUES ('1018', '791') 
 INTO "PSE1"."Warenkorb" VALUES ('1019', '1616') 
 INTO "PSE1"."Warenkorb" VALUES ('1020', '836') 
 INTO "PSE1"."Warenkorb" VALUES ('1021', '726') 
 INTO "PSE1"."Warenkorb" VALUES ('1022', '1600') 
 INTO "PSE1"."Warenkorb" VALUES ('1023', '267') 
 INTO "PSE1"."Warenkorb" VALUES ('1024', '50') 
 INTO "PSE1"."Warenkorb" VALUES ('1025', '668') 
 INTO "PSE1"."Warenkorb" VALUES ('1026', '1805') 
 INTO "PSE1"."Warenkorb" VALUES ('1027', '1863') 
 INTO "PSE1"."Warenkorb" VALUES ('1028', '1382') 
 INTO "PSE1"."Warenkorb" VALUES ('1029', '225') 
 INTO "PSE1"."Warenkorb" VALUES ('1030', '869') 
 INTO "PSE1"."Warenkorb" VALUES ('1031', '738') 
 INTO "PSE1"."Warenkorb" VALUES ('1032', '1763') 
 INTO "PSE1"."Warenkorb" VALUES ('1033', '784') 
 INTO "PSE1"."Warenkorb" VALUES ('1034', '649') 
 INTO "PSE1"."Warenkorb" VALUES ('1035', '847') 
 INTO "PSE1"."Warenkorb" VALUES ('1036', '1540') 
 INTO "PSE1"."Warenkorb" VALUES ('1037', '1126') 
 INTO "PSE1"."Warenkorb" VALUES ('1038', '483') 
 INTO "PSE1"."Warenkorb" VALUES ('1039', '340') 
 INTO "PSE1"."Warenkorb" VALUES ('1040', '663') 
 INTO "PSE1"."Warenkorb" VALUES ('1041', '1882') 
 INTO "PSE1"."Warenkorb" VALUES ('1042', '796') 
 INTO "PSE1"."Warenkorb" VALUES ('1043', '1450') 
 INTO "PSE1"."Warenkorb" VALUES ('1044', '242') 
 INTO "PSE1"."Warenkorb" VALUES ('1045', '318') 
 INTO "PSE1"."Warenkorb" VALUES ('1046', '1483') 
 INTO "PSE1"."Warenkorb" VALUES ('1047', '399') 
 INTO "PSE1"."Warenkorb" VALUES ('1048', '462') 
 INTO "PSE1"."Warenkorb" VALUES ('1049', '673') 
 INTO "PSE1"."Warenkorb" VALUES ('1050', '1897') 
 INTO "PSE1"."Warenkorb" VALUES ('1051', '1893') 
 INTO "PSE1"."Warenkorb" VALUES ('1052', '973') 
 INTO "PSE1"."Warenkorb" VALUES ('1053', '989') 
 INTO "PSE1"."Warenkorb" VALUES ('1054', '1694') 
 INTO "PSE1"."Warenkorb" VALUES ('1055', '1094') 
 INTO "PSE1"."Warenkorb" VALUES ('1056', '1808') 
 INTO "PSE1"."Warenkorb" VALUES ('1057', '1425') 
 INTO "PSE1"."Warenkorb" VALUES ('1058', '1141') 
 INTO "PSE1"."Warenkorb" VALUES ('1059', '1796') 
 INTO "PSE1"."Warenkorb" VALUES ('1060', '1020') 
 INTO "PSE1"."Warenkorb" VALUES ('1061', '1496') 
 INTO "PSE1"."Warenkorb" VALUES ('1062', '1718') 
 INTO "PSE1"."Warenkorb" VALUES ('1063', '1153') 
 INTO "PSE1"."Warenkorb" VALUES ('1064', '1825') 
 INTO "PSE1"."Warenkorb" VALUES ('1065', '1031') 
 INTO "PSE1"."Warenkorb" VALUES ('1066', '1369') 
 INTO "PSE1"."Warenkorb" VALUES ('1067', '1662') 
 INTO "PSE1"."Warenkorb" VALUES ('1068', '1144') 
 INTO "PSE1"."Warenkorb" VALUES ('1069', '1198') 
 INTO "PSE1"."Warenkorb" VALUES ('1070', '28') 
 INTO "PSE1"."Warenkorb" VALUES ('1071', '1765') 
 INTO "PSE1"."Warenkorb" VALUES ('1072', '1965') 
 INTO "PSE1"."Warenkorb" VALUES ('1073', '1137') 
 INTO "PSE1"."Warenkorb" VALUES ('1074', '902') 
 INTO "PSE1"."Warenkorb" VALUES ('1075', '174') 
 INTO "PSE1"."Warenkorb" VALUES ('1076', '221') 
 INTO "PSE1"."Warenkorb" VALUES ('1077', '766') 
 INTO "PSE1"."Warenkorb" VALUES ('1078', '83') 
 INTO "PSE1"."Warenkorb" VALUES ('1079', '1462') 
 INTO "PSE1"."Warenkorb" VALUES ('1080', '515') 
 INTO "PSE1"."Warenkorb" VALUES ('1081', '1150') 
 INTO "PSE1"."Warenkorb" VALUES ('1082', '1202') 
 INTO "PSE1"."Warenkorb" VALUES ('1083', '367') 
 INTO "PSE1"."Warenkorb" VALUES ('1084', '287') 
 INTO "PSE1"."Warenkorb" VALUES ('1085', '1129') 
 INTO "PSE1"."Warenkorb" VALUES ('1086', '875') 
 INTO "PSE1"."Warenkorb" VALUES ('1087', '826') 
 INTO "PSE1"."Warenkorb" VALUES ('1088', '490') 
 INTO "PSE1"."Warenkorb" VALUES ('1089', '1608') 
 INTO "PSE1"."Warenkorb" VALUES ('1090', '1635') 
 INTO "PSE1"."Warenkorb" VALUES ('1091', '127') 
 INTO "PSE1"."Warenkorb" VALUES ('1092', '1742') 
 INTO "PSE1"."Warenkorb" VALUES ('1093', '669') 
 INTO "PSE1"."Warenkorb" VALUES ('1094', '1892') 
 INTO "PSE1"."Warenkorb" VALUES ('1095', '1678') 
 INTO "PSE1"."Warenkorb" VALUES ('1096', '675') 
 INTO "PSE1"."Warenkorb" VALUES ('1097', '1099') 
 INTO "PSE1"."Warenkorb" VALUES ('1098', '622') 
 INTO "PSE1"."Warenkorb" VALUES ('1099', '1848') 
 INTO "PSE1"."Warenkorb" VALUES ('1100', '1281') 
 INTO "PSE1"."Warenkorb" VALUES ('1101', '174') 
 INTO "PSE1"."Warenkorb" VALUES ('1102', '1465') 
 INTO "PSE1"."Warenkorb" VALUES ('1103', '519') 
 INTO "PSE1"."Warenkorb" VALUES ('1104', '998') 
 INTO "PSE1"."Warenkorb" VALUES ('1105', '825') 
 INTO "PSE1"."Warenkorb" VALUES ('1106', '1576') 
 INTO "PSE1"."Warenkorb" VALUES ('1107', '1257') 
 INTO "PSE1"."Warenkorb" VALUES ('1108', '190') 
 INTO "PSE1"."Warenkorb" VALUES ('1109', '393') 
 INTO "PSE1"."Warenkorb" VALUES ('1110', '366') 
 INTO "PSE1"."Warenkorb" VALUES ('1111', '1941') 
 INTO "PSE1"."Warenkorb" VALUES ('1112', '565') 
 INTO "PSE1"."Warenkorb" VALUES ('1113', '66') 
 INTO "PSE1"."Warenkorb" VALUES ('1114', '1618') 
 INTO "PSE1"."Warenkorb" VALUES ('1115', '105') 
 INTO "PSE1"."Warenkorb" VALUES ('1116', '1457') 
 INTO "PSE1"."Warenkorb" VALUES ('1117', '1702') 
 INTO "PSE1"."Warenkorb" VALUES ('1118', '1925') 
 INTO "PSE1"."Warenkorb" VALUES ('1119', '505') 
 INTO "PSE1"."Warenkorb" VALUES ('1120', '603') 
 INTO "PSE1"."Warenkorb" VALUES ('1121', '1610') 
 INTO "PSE1"."Warenkorb" VALUES ('1122', '697') 
 INTO "PSE1"."Warenkorb" VALUES ('1123', '1585') 
 INTO "PSE1"."Warenkorb" VALUES ('1124', '877') 
 INTO "PSE1"."Warenkorb" VALUES ('1125', '1578') 
 INTO "PSE1"."Warenkorb" VALUES ('1126', '769') 
 INTO "PSE1"."Warenkorb" VALUES ('1127', '1606') 
 INTO "PSE1"."Warenkorb" VALUES ('1128', '559') 
 INTO "PSE1"."Warenkorb" VALUES ('1129', '719') 
 INTO "PSE1"."Warenkorb" VALUES ('1130', '938') 
 INTO "PSE1"."Warenkorb" VALUES ('1131', '298') 
 INTO "PSE1"."Warenkorb" VALUES ('1132', '94') 
 INTO "PSE1"."Warenkorb" VALUES ('1133', '1666') 
 INTO "PSE1"."Warenkorb" VALUES ('1134', '383') 
 INTO "PSE1"."Warenkorb" VALUES ('1135', '343') 
 INTO "PSE1"."Warenkorb" VALUES ('1136', '1423') 
 INTO "PSE1"."Warenkorb" VALUES ('1137', '1878') 
 INTO "PSE1"."Warenkorb" VALUES ('1138', '880') 
 INTO "PSE1"."Warenkorb" VALUES ('1139', '1077') 
 INTO "PSE1"."Warenkorb" VALUES ('1140', '308') 
 INTO "PSE1"."Warenkorb" VALUES ('1141', '307') 
 INTO "PSE1"."Warenkorb" VALUES ('1142', '1786') 
 INTO "PSE1"."Warenkorb" VALUES ('1143', '90') 
 INTO "PSE1"."Warenkorb" VALUES ('1144', '547') 
 INTO "PSE1"."Warenkorb" VALUES ('1145', '162') 
 INTO "PSE1"."Warenkorb" VALUES ('1146', '1891') 
 INTO "PSE1"."Warenkorb" VALUES ('1147', '558') 
 INTO "PSE1"."Warenkorb" VALUES ('1148', '1914') 
 INTO "PSE1"."Warenkorb" VALUES ('1149', '190') 
 INTO "PSE1"."Warenkorb" VALUES ('1150', '225') 
 INTO "PSE1"."Warenkorb" VALUES ('1151', '600') 
 INTO "PSE1"."Warenkorb" VALUES ('1152', '137') 
 INTO "PSE1"."Warenkorb" VALUES ('1153', '1835') 
 INTO "PSE1"."Warenkorb" VALUES ('1154', '1614') 
 INTO "PSE1"."Warenkorb" VALUES ('1155', '1329') 
 INTO "PSE1"."Warenkorb" VALUES ('1156', '1774') 
 INTO "PSE1"."Warenkorb" VALUES ('1157', '1868') 
 INTO "PSE1"."Warenkorb" VALUES ('1158', '868') 
 INTO "PSE1"."Warenkorb" VALUES ('1159', '324') 
 INTO "PSE1"."Warenkorb" VALUES ('1160', '45') 
 INTO "PSE1"."Warenkorb" VALUES ('1161', '1418') 
 INTO "PSE1"."Warenkorb" VALUES ('1162', '1075') 
 INTO "PSE1"."Warenkorb" VALUES ('1163', '1638') 
 INTO "PSE1"."Warenkorb" VALUES ('1164', '1910') 
 INTO "PSE1"."Warenkorb" VALUES ('1165', '1665') 
 INTO "PSE1"."Warenkorb" VALUES ('1166', '381') 
 INTO "PSE1"."Warenkorb" VALUES ('1167', '689') 
 INTO "PSE1"."Warenkorb" VALUES ('1168', '280') 
 INTO "PSE1"."Warenkorb" VALUES ('1169', '1699') 
 INTO "PSE1"."Warenkorb" VALUES ('1170', '1146') 
 INTO "PSE1"."Warenkorb" VALUES ('1171', '459') 
 INTO "PSE1"."Warenkorb" VALUES ('1172', '713') 
 INTO "PSE1"."Warenkorb" VALUES ('1173', '1781') 
 INTO "PSE1"."Warenkorb" VALUES ('1174', '537') 
 INTO "PSE1"."Warenkorb" VALUES ('1175', '1348') 
 INTO "PSE1"."Warenkorb" VALUES ('1176', '677') 
 INTO "PSE1"."Warenkorb" VALUES ('1177', '1582') 
 INTO "PSE1"."Warenkorb" VALUES ('1178', '34') 
 INTO "PSE1"."Warenkorb" VALUES ('1179', '837') 
 INTO "PSE1"."Warenkorb" VALUES ('1180', '362') 
 INTO "PSE1"."Warenkorb" VALUES ('1181', '1127') 
 INTO "PSE1"."Warenkorb" VALUES ('1182', '195') 
 INTO "PSE1"."Warenkorb" VALUES ('1183', '1142') 
 INTO "PSE1"."Warenkorb" VALUES ('1184', '1536') 
 INTO "PSE1"."Warenkorb" VALUES ('1185', '699') 
 INTO "PSE1"."Warenkorb" VALUES ('1186', '1819') 
 INTO "PSE1"."Warenkorb" VALUES ('1187', '512') 
 INTO "PSE1"."Warenkorb" VALUES ('1188', '1810') 
 INTO "PSE1"."Warenkorb" VALUES ('1189', '1143') 
 INTO "PSE1"."Warenkorb" VALUES ('1190', '1116') 
 INTO "PSE1"."Warenkorb" VALUES ('1191', '1190') 
 INTO "PSE1"."Warenkorb" VALUES ('1192', '1832') 
 INTO "PSE1"."Warenkorb" VALUES ('1193', '328') 
 INTO "PSE1"."Warenkorb" VALUES ('1194', '176') 
 INTO "PSE1"."Warenkorb" VALUES ('1195', '1087') 
 INTO "PSE1"."Warenkorb" VALUES ('1196', '219') 
 INTO "PSE1"."Warenkorb" VALUES ('1197', '1047') 
 INTO "PSE1"."Warenkorb" VALUES ('1198', '49') 
 INTO "PSE1"."Warenkorb" VALUES ('1199', '1921') 
 INTO "PSE1"."Warenkorb" VALUES ('1200', '1832') 
 INTO "PSE1"."Warenkorb" VALUES ('1201', '926') 
 INTO "PSE1"."Warenkorb" VALUES ('1202', '586') 
 INTO "PSE1"."Warenkorb" VALUES ('1203', '1219') 
 INTO "PSE1"."Warenkorb" VALUES ('1204', '995') 
 INTO "PSE1"."Warenkorb" VALUES ('1205', '227') 
 INTO "PSE1"."Warenkorb" VALUES ('1206', '1772') 
 INTO "PSE1"."Warenkorb" VALUES ('1207', '910') 
 INTO "PSE1"."Warenkorb" VALUES ('1208', '26') 
 INTO "PSE1"."Warenkorb" VALUES ('1209', '107') 
 INTO "PSE1"."Warenkorb" VALUES ('1210', '1451') 
 INTO "PSE1"."Warenkorb" VALUES ('1211', '1001') 
 INTO "PSE1"."Warenkorb" VALUES ('1212', '1512') 
 INTO "PSE1"."Warenkorb" VALUES ('1213', '1809') 
 INTO "PSE1"."Warenkorb" VALUES ('1214', '25') 
 INTO "PSE1"."Warenkorb" VALUES ('1215', '1870') 
 INTO "PSE1"."Warenkorb" VALUES ('1216', '449') 
 INTO "PSE1"."Warenkorb" VALUES ('1217', '261') 
 INTO "PSE1"."Warenkorb" VALUES ('1218', '875') 
 INTO "PSE1"."Warenkorb" VALUES ('1219', '592') 
 INTO "PSE1"."Warenkorb" VALUES ('1220', '1396') 
 INTO "PSE1"."Warenkorb" VALUES ('1221', '1661') 
 INTO "PSE1"."Warenkorb" VALUES ('1222', '739') 
 INTO "PSE1"."Warenkorb" VALUES ('1223', '1515') 
 INTO "PSE1"."Warenkorb" VALUES ('1224', '1209') 
 INTO "PSE1"."Warenkorb" VALUES ('1225', '1857') 
 INTO "PSE1"."Warenkorb" VALUES ('1226', '309') 
 INTO "PSE1"."Warenkorb" VALUES ('1227', '89') 
 INTO "PSE1"."Warenkorb" VALUES ('1228', '883') 
 INTO "PSE1"."Warenkorb" VALUES ('1229', '1926') 
 INTO "PSE1"."Warenkorb" VALUES ('1230', '1773') 
 INTO "PSE1"."Warenkorb" VALUES ('1231', '1956') 
 INTO "PSE1"."Warenkorb" VALUES ('1232', '962') 
 INTO "PSE1"."Warenkorb" VALUES ('1233', '643') 
 INTO "PSE1"."Warenkorb" VALUES ('1234', '1793') 
 INTO "PSE1"."Warenkorb" VALUES ('1235', '386') 
 INTO "PSE1"."Warenkorb" VALUES ('1236', '1224') 
 INTO "PSE1"."Warenkorb" VALUES ('1237', '639') 
 INTO "PSE1"."Warenkorb" VALUES ('1238', '1897') 
 INTO "PSE1"."Warenkorb" VALUES ('1239', '173') 
 INTO "PSE1"."Warenkorb" VALUES ('1240', '1333') 
 INTO "PSE1"."Warenkorb" VALUES ('1241', '667') 
 INTO "PSE1"."Warenkorb" VALUES ('1242', '1339') 
 INTO "PSE1"."Warenkorb" VALUES ('1243', '1720') 
 INTO "PSE1"."Warenkorb" VALUES ('1244', '1315') 
 INTO "PSE1"."Warenkorb" VALUES ('1245', '1990') 
 INTO "PSE1"."Warenkorb" VALUES ('1246', '1637') 
 INTO "PSE1"."Warenkorb" VALUES ('1247', '626') 
 INTO "PSE1"."Warenkorb" VALUES ('1248', '1674') 
 INTO "PSE1"."Warenkorb" VALUES ('1249', '1567') 
 INTO "PSE1"."Warenkorb" VALUES ('1250', '588') 
 INTO "PSE1"."Warenkorb" VALUES ('1251', '1940') 
 INTO "PSE1"."Warenkorb" VALUES ('1252', '500') 
 INTO "PSE1"."Warenkorb" VALUES ('1253', '1065') 
 INTO "PSE1"."Warenkorb" VALUES ('1254', '363') 
 INTO "PSE1"."Warenkorb" VALUES ('1255', '172') 
 INTO "PSE1"."Warenkorb" VALUES ('1256', '98') 
 INTO "PSE1"."Warenkorb" VALUES ('1257', '857') 
 INTO "PSE1"."Warenkorb" VALUES ('1258', '843') 
 INTO "PSE1"."Warenkorb" VALUES ('1259', '1082') 
 INTO "PSE1"."Warenkorb" VALUES ('1260', '308') 
 INTO "PSE1"."Warenkorb" VALUES ('1261', '806') 
 INTO "PSE1"."Warenkorb" VALUES ('1262', '1952') 
 INTO "PSE1"."Warenkorb" VALUES ('1263', '111') 
 INTO "PSE1"."Warenkorb" VALUES ('1264', '552') 
 INTO "PSE1"."Warenkorb" VALUES ('1265', '1155') 
 INTO "PSE1"."Warenkorb" VALUES ('1266', '1841') 
 INTO "PSE1"."Warenkorb" VALUES ('1267', '168') 
 INTO "PSE1"."Warenkorb" VALUES ('1268', '1908') 
 INTO "PSE1"."Warenkorb" VALUES ('1269', '1807') 
 INTO "PSE1"."Warenkorb" VALUES ('1270', '424') 
 INTO "PSE1"."Warenkorb" VALUES ('1271', '203') 
 INTO "PSE1"."Warenkorb" VALUES ('1272', '1301') 
 INTO "PSE1"."Warenkorb" VALUES ('1273', '477') 
 INTO "PSE1"."Warenkorb" VALUES ('1274', '1338') 
 INTO "PSE1"."Warenkorb" VALUES ('1275', '827') 
 INTO "PSE1"."Warenkorb" VALUES ('1276', '823') 
 INTO "PSE1"."Warenkorb" VALUES ('1277', '319') 
 INTO "PSE1"."Warenkorb" VALUES ('1278', '165') 
 INTO "PSE1"."Warenkorb" VALUES ('1279', '978') 
 INTO "PSE1"."Warenkorb" VALUES ('1280', '1655') 
 INTO "PSE1"."Warenkorb" VALUES ('1281', '845') 
 INTO "PSE1"."Warenkorb" VALUES ('1282', '1588') 
 INTO "PSE1"."Warenkorb" VALUES ('1283', '157') 
 INTO "PSE1"."Warenkorb" VALUES ('1284', '274') 
 INTO "PSE1"."Warenkorb" VALUES ('1285', '872') 
 INTO "PSE1"."Warenkorb" VALUES ('1286', '642') 
 INTO "PSE1"."Warenkorb" VALUES ('1287', '1249') 
 INTO "PSE1"."Warenkorb" VALUES ('1288', '1911') 
 INTO "PSE1"."Warenkorb" VALUES ('1289', '626') 
 INTO "PSE1"."Warenkorb" VALUES ('1290', '1042') 
 INTO "PSE1"."Warenkorb" VALUES ('1291', '1551') 
 INTO "PSE1"."Warenkorb" VALUES ('1292', '1250') 
 INTO "PSE1"."Warenkorb" VALUES ('1293', '1436') 
 INTO "PSE1"."Warenkorb" VALUES ('1294', '1285') 
 INTO "PSE1"."Warenkorb" VALUES ('1295', '1797') 
 INTO "PSE1"."Warenkorb" VALUES ('1296', '466') 
 INTO "PSE1"."Warenkorb" VALUES ('1297', '1722') 
 INTO "PSE1"."Warenkorb" VALUES ('1298', '1522') 
 INTO "PSE1"."Warenkorb" VALUES ('1299', '318') 
 INTO "PSE1"."Warenkorb" VALUES ('1300', '2') 
 INTO "PSE1"."Warenkorb" VALUES ('1301', '1070') 
 INTO "PSE1"."Warenkorb" VALUES ('1302', '685') 
 INTO "PSE1"."Warenkorb" VALUES ('1303', '1747') 
 INTO "PSE1"."Warenkorb" VALUES ('1304', '84') 
 INTO "PSE1"."Warenkorb" VALUES ('1305', '1231') 
 INTO "PSE1"."Warenkorb" VALUES ('1306', '500') 
 INTO "PSE1"."Warenkorb" VALUES ('1307', '1632') 
 INTO "PSE1"."Warenkorb" VALUES ('1308', '567') 
 INTO "PSE1"."Warenkorb" VALUES ('1309', '1234') 
 INTO "PSE1"."Warenkorb" VALUES ('1310', '177') 
 INTO "PSE1"."Warenkorb" VALUES ('1311', '1587') 
 INTO "PSE1"."Warenkorb" VALUES ('1312', '729') 
 INTO "PSE1"."Warenkorb" VALUES ('1313', '1486') 
 INTO "PSE1"."Warenkorb" VALUES ('1314', '288') 
 INTO "PSE1"."Warenkorb" VALUES ('1315', '1074') 
 INTO "PSE1"."Warenkorb" VALUES ('1316', '1046') 
 INTO "PSE1"."Warenkorb" VALUES ('1317', '33') 
 INTO "PSE1"."Warenkorb" VALUES ('1318', '960') 
 INTO "PSE1"."Warenkorb" VALUES ('1319', '1518') 
 INTO "PSE1"."Warenkorb" VALUES ('1320', '371') 
 INTO "PSE1"."Warenkorb" VALUES ('1321', '223') 
 INTO "PSE1"."Warenkorb" VALUES ('1322', '597') 
 INTO "PSE1"."Warenkorb" VALUES ('1323', '1819') 
 INTO "PSE1"."Warenkorb" VALUES ('1324', '1430') 
 INTO "PSE1"."Warenkorb" VALUES ('1325', '1069') 
 INTO "PSE1"."Warenkorb" VALUES ('1326', '1443') 
 INTO "PSE1"."Warenkorb" VALUES ('1327', '403') 
 INTO "PSE1"."Warenkorb" VALUES ('1328', '1008') 
 INTO "PSE1"."Warenkorb" VALUES ('1329', '1243') 
 INTO "PSE1"."Warenkorb" VALUES ('1330', '497') 
 INTO "PSE1"."Warenkorb" VALUES ('1331', '1405') 
 INTO "PSE1"."Warenkorb" VALUES ('1332', '1355') 
 INTO "PSE1"."Warenkorb" VALUES ('1333', '1643') 
 INTO "PSE1"."Warenkorb" VALUES ('1334', '451') 
 INTO "PSE1"."Warenkorb" VALUES ('1335', '1255') 
 INTO "PSE1"."Warenkorb" VALUES ('1336', '1606') 
 INTO "PSE1"."Warenkorb" VALUES ('1337', '124') 
 INTO "PSE1"."Warenkorb" VALUES ('1338', '1922') 
 INTO "PSE1"."Warenkorb" VALUES ('1339', '1702') 
 INTO "PSE1"."Warenkorb" VALUES ('1340', '856') 
 INTO "PSE1"."Warenkorb" VALUES ('1341', '1826') 
 INTO "PSE1"."Warenkorb" VALUES ('1342', '1522') 
 INTO "PSE1"."Warenkorb" VALUES ('1343', '359') 
 INTO "PSE1"."Warenkorb" VALUES ('1344', '1723') 
 INTO "PSE1"."Warenkorb" VALUES ('1345', '1261') 
 INTO "PSE1"."Warenkorb" VALUES ('1346', '573') 
 INTO "PSE1"."Warenkorb" VALUES ('1347', '1995') 
 INTO "PSE1"."Warenkorb" VALUES ('1348', '1344') 
 INTO "PSE1"."Warenkorb" VALUES ('1349', '1373') 
 INTO "PSE1"."Warenkorb" VALUES ('1350', '1235') 
 INTO "PSE1"."Warenkorb" VALUES ('1351', '63') 
 INTO "PSE1"."Warenkorb" VALUES ('1352', '113') 
 INTO "PSE1"."Warenkorb" VALUES ('1353', '946') 
 INTO "PSE1"."Warenkorb" VALUES ('1354', '391') 
 INTO "PSE1"."Warenkorb" VALUES ('1355', '266') 
 INTO "PSE1"."Warenkorb" VALUES ('1356', '1916') 
 INTO "PSE1"."Warenkorb" VALUES ('1357', '738') 
 INTO "PSE1"."Warenkorb" VALUES ('1358', '293') 
 INTO "PSE1"."Warenkorb" VALUES ('1359', '201') 
 INTO "PSE1"."Warenkorb" VALUES ('1360', '1736') 
 INTO "PSE1"."Warenkorb" VALUES ('1361', '1844') 
 INTO "PSE1"."Warenkorb" VALUES ('1362', '470') 
 INTO "PSE1"."Warenkorb" VALUES ('1363', '761') 
 INTO "PSE1"."Warenkorb" VALUES ('1364', '367') 
 INTO "PSE1"."Warenkorb" VALUES ('1365', '1669') 
 INTO "PSE1"."Warenkorb" VALUES ('1366', '643') 
 INTO "PSE1"."Warenkorb" VALUES ('1367', '1285') 
 INTO "PSE1"."Warenkorb" VALUES ('1368', '563') 
 INTO "PSE1"."Warenkorb" VALUES ('1369', '1498') 
 INTO "PSE1"."Warenkorb" VALUES ('1370', '541') 
 INTO "PSE1"."Warenkorb" VALUES ('1371', '1674') 
 INTO "PSE1"."Warenkorb" VALUES ('1372', '1117') 
 INTO "PSE1"."Warenkorb" VALUES ('1373', '930') 
 INTO "PSE1"."Warenkorb" VALUES ('1374', '1815') 
 INTO "PSE1"."Warenkorb" VALUES ('1375', '1253') 
 INTO "PSE1"."Warenkorb" VALUES ('1376', '689') 
 INTO "PSE1"."Warenkorb" VALUES ('1377', '94') 
 INTO "PSE1"."Warenkorb" VALUES ('1378', '21') 
 INTO "PSE1"."Warenkorb" VALUES ('1379', '1069') 
 INTO "PSE1"."Warenkorb" VALUES ('1380', '1974') 
 INTO "PSE1"."Warenkorb" VALUES ('1381', '893') 
 INTO "PSE1"."Warenkorb" VALUES ('1382', '1523') 
 INTO "PSE1"."Warenkorb" VALUES ('1383', '1668') 
 INTO "PSE1"."Warenkorb" VALUES ('1384', '93') 
 INTO "PSE1"."Warenkorb" VALUES ('1385', '1336') 
 INTO "PSE1"."Warenkorb" VALUES ('1386', '678') 
 INTO "PSE1"."Warenkorb" VALUES ('1387', '1207') 
 INTO "PSE1"."Warenkorb" VALUES ('1388', '429') 
 INTO "PSE1"."Warenkorb" VALUES ('1389', '1990') 
 INTO "PSE1"."Warenkorb" VALUES ('1390', '1137') 
 INTO "PSE1"."Warenkorb" VALUES ('1391', '385') 
 INTO "PSE1"."Warenkorb" VALUES ('1392', '707') 
 INTO "PSE1"."Warenkorb" VALUES ('1393', '1000') 
 INTO "PSE1"."Warenkorb" VALUES ('1394', '1948') 
 INTO "PSE1"."Warenkorb" VALUES ('1395', '1303') 
 INTO "PSE1"."Warenkorb" VALUES ('1396', '902') 
 INTO "PSE1"."Warenkorb" VALUES ('1397', '1193') 
 INTO "PSE1"."Warenkorb" VALUES ('1398', '1441') 
 INTO "PSE1"."Warenkorb" VALUES ('1399', '706') 
 INTO "PSE1"."Warenkorb" VALUES ('1400', '925') 
 INTO "PSE1"."Warenkorb" VALUES ('1401', '1774') 
 INTO "PSE1"."Warenkorb" VALUES ('1402', '1181') 
 INTO "PSE1"."Warenkorb" VALUES ('1403', '653') 
 INTO "PSE1"."Warenkorb" VALUES ('1404', '1042') 
 INTO "PSE1"."Warenkorb" VALUES ('1405', '917') 
 INTO "PSE1"."Warenkorb" VALUES ('1406', '610') 
 INTO "PSE1"."Warenkorb" VALUES ('1407', '1670') 
 INTO "PSE1"."Warenkorb" VALUES ('1408', '812') 
 INTO "PSE1"."Warenkorb" VALUES ('1409', '1393') 
 INTO "PSE1"."Warenkorb" VALUES ('1410', '52') 
 INTO "PSE1"."Warenkorb" VALUES ('1411', '822') 
 INTO "PSE1"."Warenkorb" VALUES ('1412', '1432') 
 INTO "PSE1"."Warenkorb" VALUES ('1413', '264') 
 INTO "PSE1"."Warenkorb" VALUES ('1414', '197') 
 INTO "PSE1"."Warenkorb" VALUES ('1415', '1474') 
 INTO "PSE1"."Warenkorb" VALUES ('1416', '250') 
 INTO "PSE1"."Warenkorb" VALUES ('1417', '1080') 
 INTO "PSE1"."Warenkorb" VALUES ('1418', '768') 
 INTO "PSE1"."Warenkorb" VALUES ('1419', '1649') 
 INTO "PSE1"."Warenkorb" VALUES ('1420', '1510') 
 INTO "PSE1"."Warenkorb" VALUES ('1421', '1499') 
 INTO "PSE1"."Warenkorb" VALUES ('1422', '808') 
 INTO "PSE1"."Warenkorb" VALUES ('1423', '680') 
 INTO "PSE1"."Warenkorb" VALUES ('1424', '870') 
 INTO "PSE1"."Warenkorb" VALUES ('1425', '1884') 
 INTO "PSE1"."Warenkorb" VALUES ('1426', '1255') 
 INTO "PSE1"."Warenkorb" VALUES ('1427', '713') 
 INTO "PSE1"."Warenkorb" VALUES ('1428', '1171') 
 INTO "PSE1"."Warenkorb" VALUES ('1429', '766') 
 INTO "PSE1"."Warenkorb" VALUES ('1430', '927') 
 INTO "PSE1"."Warenkorb" VALUES ('1431', '915') 
 INTO "PSE1"."Warenkorb" VALUES ('1432', '607') 
 INTO "PSE1"."Warenkorb" VALUES ('1433', '1748') 
 INTO "PSE1"."Warenkorb" VALUES ('1434', '73') 
 INTO "PSE1"."Warenkorb" VALUES ('1435', '929') 
 INTO "PSE1"."Warenkorb" VALUES ('1436', '1160') 
 INTO "PSE1"."Warenkorb" VALUES ('1437', '560') 
 INTO "PSE1"."Warenkorb" VALUES ('1438', '1614') 
